DISTRICT,DISTRICT_CODE,STATE,STATE_CODE,GW_Status
PAURI GARHWAL,061,UTTARAKHAND,05,Safe
KAITHAL,073,HARYANA,06,Over-exploited
SIRSA,079,HARYANA,06,Over-exploited
HANUMANGARH,100,RAJASTHAN,08,Safe
KARNAL,074,HARYANA,06,Over-exploited
ALMORA,064,UTTARAKHAND,05,Safe
JIND,077,HARYANA,06,Over-exploited
FATEHABAD,078,HARYANA,06,Critical
BIJNOR,134,UTTAR PRADESH,09,Critical
MUZAFFARNAGAR,133,UTTAR PRADESH,09,Critical
HISAR,080,HARYANA,06,Critical
NAINITAL,066,UTTARAKHAND,05,Safe
PANIPAT,075,HARYANA,06,Over-exploited
CHAMPAWAT,065,UTTARAKHAND,05,Safe
UDHAM SINGH NAGAR,067,UTTARAKHAND,05,Safe
SONIPAT,076,HARYANA,06,Over-exploited
BAGHPAT,139,UTTAR PRADESH,09,Safe
MEERUT,138,UTTAR PRADESH,09,Critical
MORADABAD,135,UTTAR PRADESH,09,Critical
BIKANER,101,RAJASTHAN,08,Critical
RAMPUR,136,UTTAR PRADESH,09,Over-exploited
BHIWANI,081,HARYANA,06,Over-exploited
ROHTAK,082,HARYANA,06,Safe
SHAMLI,704,UTTAR PRADESH,09,Over-exploited
FIROZPUR,043,PUNJAB,03,Safe
PATHANKOT,773,PUNJAB,03,Safe
UDHAMPUR,019,JAMMU AND KASHMIR,01,Safe
SAMBA,022,JAMMU AND KASHMIR,01,Safe
KAPURTHALA,036,PUNJAB,03,Over-exploited
PANCHKULA,069,HARYANA,06,Safe
AMBALA,070,HARYANA,06,Critical
AURANGABAD,235,BIHAR,10,Safe
BALRAMPUR,716,CHHATTISGARH,22,Safe
BALRAMPUR,182,UTTAR PRADESH,09,Safe
HAMIRPUR,168,UTTAR PRADESH,09,Safe
HAMIRPUR,028,HIMACHAL PRADESH,02,Safe
PRATAPGARH,131,RAJASTHAN,08,Critical
PRATAPGARH,173,UTTAR PRADESH,09,Critical
BILASPUR,030,HIMACHAL PRADESH,02,Safe
NIWARI,782,MADHYA PRADESH,23,Safe
MUZAFFARABAD,992,JAMMU AND KASHMIR,01,Safe
MIRPUR,991,JAMMU AND KASHMIR,01,Safe
